genre_ids,original_language,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross
"[14, 12, 16, 10751]",en,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,P/DW,217600000.0,277300000.0,2010,494900000.0
"[12, 28, 878]",en,28.515,2010-05-07,Iron Man 2,6.8,12368,Par.,312400000.0,311500000.0,2010,623900000.0
"[28, 878, 12]",en,27.92,2010-07-16,Inception,8.3,22186,WB,292600000.0,535700000.0,2010,828300000.0
"[16, 10751, 35]",en,24.445,2010-06-17,Toy Story 3,7.7,8340,BV,415000000.0,652000000.0,2010,1067000000.0
"[16, 10751, 35]",en,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,Uni.,251500000.0,291600000.0,2010,543100000.0
"[16, 28, 35, 10751, 878]",en,22.855,2010-11-04,Megamind,6.8,3635,P/DW,148400000.0,173500000.0,2010,321900000.0
"[53, 12, 28]",en,21.517,2010-08-03,The Expendables,6.1,4647,LGF,103100000.0,171400000.0,2010,274500000.0
"[16, 10751]",en,21.511,2010-11-24,Tangled,7.5,6407,BV,200800000.0,391000000.0,2010,591800000.0
"[12, 14, 18, 10749]",en,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,Sum.,300500000.0,398000000.0,2010,698500000.0
"[28, 53, 878]",en,18.985,2010-01-11,The Book of Eli,6.7,3495,WB,94800000.0,62300000.0,2010,157100000.0
"[18, 53, 9648]",en,18.06,2010-02-18,Shutter Island,8.1,12625,Par.,128000000.0,166800000.0,2010,294800000.0
"[12, 10751, 14]",en,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fox,104400000.0,311300000.0,2010,415700000.0
"[53, 28, 12, 35, 80]",en,17.097,2010-06-11,The A-Team,6.3,2703,Fox,77200000.0,100000000.0,2010,177200000.0
"[18, 36]",en,16.798,2010-09-06,The King's Speech,7.7,5013,Wein.,135500000.0,275400000.0,2010,410900000.0
"[28, 12, 10751, 14]",en,16.595,2010-07-01,The Last Airbender,4.6,2143,Par.,131800000.0,187900000.0,2010,319700000.0
"[28, 878, 12, 53]",en,16.215999999999998,2010-07-03,Predators,6.1,1979,Fox,52000000.0,75200000.0,2010,127200000.0
[18],en,15.889000000000001,2010-10-01,The Social Network,7.2,6116,Sony,97000000.0,128000000.0,2010,225000000.0
"[35, 10749]",en,15.49,2010-04-23,The Back-Up Plan,6.0,806,CBS,37500000.0,40000000.0,2010,77500000.0
"[28, 12, 18]",en,15.444,2010-05-14,Robin Hood,6.3,2569,Uni.,105300000.0,216400000.0,2010,321700000.0
"[12, 16, 10751]",en,0.68,2013-01-31,Robin Hood,5.7,3,Uni.,105300000.0,216400000.0,2010,321700000.0
"[12, 28, 53]",en,39.975,2018-11-21,Robin Hood,5.8,1194,Uni.,105300000.0,216400000.0,2010,321700000.0
"[35, 12, 14, 16, 10751]",en,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,P/DW,238700000.0,513900000.0,2010,752600000.0
[35],en,14.69,2010-09-17,Easy A,6.8,4168,SGem,58400000.0,16600000.0,2010,75000000.0
"[14, 12, 28, 35, 18]",en,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,BV,63200000.0,152100000.0,2010,215300000.0
"[28, 35, 10749]",en,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,Uni.,31500000.0,16100000.0,2010,47600000.0
[35],en,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,Sony,162000000.0,109400000.0,2010,271400000.0
"[80, 18, 28, 53]",en,14.172,2010-11-23,Faster,6.2,895,CBS,23200000.0,12400000.0,2010,35600000.0
[27],en,14.03,2010-02-12,The Wolfman,5.7,1009,Uni.,62000000.0,77800000.0,2010,139800000.0
"[28, 53]",en,14.01,2010-11-12,Unstoppable,6.4,1913,Fox,81600000.0,86200000.0,2010,167800000.0
[99],en,0.6,2013-09-24,Unstoppable,1.6,4,Fox,81600000.0,86200000.0,2010,167800000.0
"[18, 53]",en,13.745,2010-12-03,Black Swan,7.6,8374,FoxS,107000000.0,222400000.0,2010,329400000.0
"[12, 28, 18]",en,13.548,2010-02-15,Centurion,6.1,673,Magn.,124000.0,6700000.0,2010,6824000.0
"[28, 35, 80]",en,13.508,2010-08-06,The Other Guys,6.2,2187,Sony,119200000.0,51200000.0,2010,170400000.0
"[80, 18, 53]",en,13.475999999999999,2010-09-17,The Town,7.1,2386,WB,92200000.0,61800000.0,2010,154000000.0
"[28, 37, 18, 14, 53]",en,13.467,2010-06-18,Jonah Hex,4.6,708,WB,10500000.0,356000.0,2010,10856000.0
"[12, 14, 28, 10749]",en,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,BV,90800000.0,245600000.0,2010,336400000.0
"[18, 12, 37]",en,13.118,2010-12-22,True Grit,7.2,2816,Par.,171200000.0,81000000.0,2010,252200000.0
"[53, 80, 27]",en,13.102,2010-10-08,I Spit on Your Grave,6.3,977,Anch.,93100.0,480000.0,2010,573100.0
"[28, 80]",en,13.08,2010-04-16,Kick-Ass,7.1,7540,LGF,48100000.0,48100000.0,2010,96200000.0
"[28, 9648, 53]",en,13.025,2010-07-23,Salt,6.3,3240,Sony,118300000.0,175200000.0,2010,293500000.0
"[53, 80]",en,0.632,2012-08-06,Salt,1.0,1,Sony,118300000.0,175200000.0,2010,293500000.0
"[28, 80, 53]",en,12.862,2010-02-05,From Paris with Love,6.2,1075,LGF,24100000.0,28700000.0,2010,52800000.0
"[35, 10751, 14]",en,12.65,2010-01-22,Tooth Fairy,5.3,1058,Fox,60000000.0,52400000.0,2010,112400000.0
"[28, 35, 53]",en,12.557,2010-09-03,Machete,6.3,1862,Fox,26600000.0,17500000.0,2010,44100000.0
