genre_ids,original_language,popularity,release_date,title,vote_average,vote_count
"[12, 14, 10751]",en,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788
"[14, 12, 16, 10751]",en,28.734,2010-03-26,How to Train Your Dragon,7.7,7610
"[12, 28, 878]",en,28.515,2010-05-07,Iron Man 2,6.8,12368
"[16, 35, 10751]",en,28.005,1995-11-22,Toy Story,7.9,10174
"[28, 878, 12]",en,27.92,2010-07-16,Inception,8.3,22186
"[12, 14, 10751]",en,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229
"[28, 12, 14, 878]",en,26.526,2009-12-18,Avatar,7.4,18676
"[16, 10751, 35]",en,24.445,2010-06-17,Toy Story 3,7.7,8340
"[16, 10751, 35]",en,23.673000000000002,2010-07-09,Despicable Me,7.2,10057
"[16, 28, 35, 10751, 878]",en,22.855,2010-11-04,Megamind,6.8,3635
"[16, 35, 10751]",en,22.698,1999-11-24,Toy Story 2,7.5,7553
"[10751, 14, 12]",en,22.02,2010-03-05,Alice in Wonderland,6.6,8713
"[53, 12, 28]",en,21.517,2010-08-03,The Expendables,6.1,4647
"[16, 10751]",en,21.511,2010-11-24,Tangled,7.5,6407
"[27, 80]",en,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488
"[12, 14, 18, 10749]",en,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909
"[28, 53, 878]",en,18.985,2010-01-11,The Book of Eli,6.7,3495
"[10402, 10749]",nl,18.586,2010-10-09,LelleBelle,4.5,36
"[28, 18, 53]",en,18.199,2004-07-23,The Bourne Supremacy,7.3,4367
"[18, 53, 9648]",en,18.06,2010-02-18,Shutter Island,8.1,12625
"[28, 18, 9648, 53]",en,17.935,2002-06-14,The Bourne Identity,7.4,5406
"[28, 35]",en,17.713,2010-06-23,Knight and Day,6.0,2494
"[12, 10751, 14]",en,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196
"[18, 10749]",en,17.174,2010-08-06,Step Up 3D,6.7,1160
"[53, 28, 12, 35, 80]",en,17.097,2010-06-11,The A-Team,6.3,2703
"[18, 36]",en,16.798,2010-09-06,The King's Speech,7.7,5013
"[28, 35, 80, 53]",en,16.608,1995-04-07,Bad Boys,6.6,2936
"[28, 12, 10751, 14]",en,16.595,2010-07-01,The Last Airbender,4.6,2143
"[28, 878, 12, 53]",en,16.215999999999998,2010-07-03,Predators,6.1,1979
[18],en,15.889000000000001,2010-10-01,The Social Network,7.2,6116
"[28, 53]",en,15.886,2010-05-22,Undisputed III: Redemption,7.4,302
"[18, 36]",en,15.855,1995-06-30,Apollo 13,7.4,2821
"[28, 53, 878, 12]",en,15.799000000000001,1998-07-01,Armageddon,6.7,4267
"[28, 18, 9648, 53]",en,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440
"[12, 14, 28]",en,15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714
"[35, 10749]",en,15.49,2010-04-23,The Back-Up Plan,6.0,806
"[28, 12, 18]",en,15.444,2010-05-14,Robin Hood,6.3,2569
"[35, 14, 10751]",en,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953
"[35, 12, 14, 16, 10751]",en,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843
[35],en,14.69,2010-09-17,Easy A,6.8,4168
"[14, 12, 28, 35, 18]",en,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879
"[28, 35, 10749]",en,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882
[35],en,14.290999999999999,2010-06-24,Grown Ups,6.1,3171
"[35, 10749]",en,14.2,1959-03-18,Some Like It Hot,8.2,1562
"[80, 18, 28, 53]",en,14.172,2010-11-23,Faster,6.2,895
[27],en,14.03,2010-02-12,The Wolfman,5.7,1009
"[28, 53]",en,14.01,2010-11-12,Unstoppable,6.4,1913
"[18, 53]",en,13.745,2010-12-03,Black Swan,7.6,8374
"[16, 12, 10751, 14]",en,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451
"[10749, 18]",es,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960
"[12, 28, 18]",en,13.548,2010-02-15,Centurion,6.1,673
"[28, 35, 80]",en,13.508,2010-08-06,The Other Guys,6.2,2187
"[80, 18, 53]",en,13.475999999999999,2010-09-17,The Town,7.1,2386
"[28, 37, 18, 14, 53]",en,13.467,2010-06-18,Jonah Hex,4.6,708
"[12, 28, 878]",en,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387
"[12, 14, 28, 10749]",en,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040
"[35, 16, 10751]",en,13.347999999999999,1986-07-02,The Great Mouse Detective,7.1,769
"[14, 18]",en,13.285,2010-01-15,The Lovely Bones,6.8,2226
[18],en,13.163,2000-10-06,All About Eve,8.2,685
"[18, 12, 37]",en,13.118,2010-12-22,True Grit,7.2,2816
"[53, 80, 27]",en,13.102,2010-10-08,I Spit on Your Grave,6.3,977
"[28, 80]",en,13.08,2010-04-16,Kick-Ass,7.1,7540
"[35, 878, 16]",en,13.062000000000001,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60
"[28, 9648, 53]",en,13.025,2010-07-23,Salt,6.3,3240
"[10770, 16, 14, 10751]",en,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116
"[28, 80, 53]",en,12.862,2010-02-05,From Paris with Love,6.2,1075
"[28, 16, 9648]",en,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756
"[16, 12, 14, 10751]",en,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865
"[35, 10751, 14]",en,12.65,2010-01-22,Tooth Fairy,5.3,1058
"[28, 35, 53]",en,12.557,2010-09-03,Machete,6.3,1862
"[80, 18, 9648, 10749]",es,12.530999999999999,2010-04-16,The Secret in Their Eyes,7.9,1141
[35],en,12.498,2010-04-08,Date Night,6.0,1743
"[35, 18]",en,12.445,2010-11-04,Due Date,6.3,2973
"[28, 878, 53, 80]",en,12.437000000000001,2010-03-19,Repo Men,6.2,976
"[16, 28]",en,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140
[16],ja,12.275,2010-10-13,Summer Wars,7.5,447
